date,steps,sleep_hours,heart_rate_avg,heart_rate_resting,stress_level,mood_score,energy_level,weight_kg
2025-10-17,8102,6.4,66,61,0.68,5.0,5.5,69.2
2025-10-18,7004,6.6,63,62,0.66,4.4,4.7,71.1
2025-10-19,5865,5.8,88,53,0.59,5.1,4.8,68.8
2025-10-20,3515,6.3,59,64,0.66,5.3,5.9,69.7
2025-10-21,10951,6.6,65,65,0.6,5.3,4.9,69.6
2025-10-22,6608,5.5,71,60,0.7,4.5,5.4,69.9
2025-10-23,11501,6.7,71,63,0.78,5.2,5.0,70.0
2025-10-24,5775,6.4,84,60,0.65,4.9,4.7,69.7
2025-10-25,6493,6.2,72,58,0.73,5.6,5.3,70.0
2025-10-26,6668,5.8,61,57,0.69,6.2,5.0,69.9
2025-10-27,6882,7.0,68,63,0.79,4.7,5.6,70.7
2025-10-28,7081,6.7,73,58,0.69,6.5,6.2,69.2
2025-10-29,8913,5.9,60,58,0.54,5.7,5.8,70.0
2025-10-30,6619,6.2,83,49,0.63,5.3,5.8,70.1
2025-10-31,6792,6.6,83,65,0.63,5.7,6.4,70.3
2025-11-01,9587,7.4,72,57,0.7,6.3,6.2,70.0
2025-11-02,8766,6.7,64,59,0.8,6.2,7.1,69.5
2025-11-03,6076,7.0,84,60,0.44,5.7,6.0,69.9
2025-11-04,11382,6.6,83,52,0.54,6.4,5.9,70.5
2025-11-05,9605,7.4,67,64,0.41,6.5,6.4,70.3
2025-11-06,11127,7.4,60,60,0.4,6.4,5.1,69.4
2025-11-07,10278,6.9,63,53,0.43,5.8,6.9,69.7
2025-11-08,9143,7.7,60,66,0.4,7.0,6.5,69.5
2025-11-09,8339,7.0,74,58,0.44,6.2,6.3,69.3
2025-11-10,8910,7.0,69,62,0.48,7.0,6.0,69.6
2025-11-11,7778,7.6,77,58,0.41,7.4,7.1,69.8
2025-11-12,8684,7.3,60,57,0.56,6.7,6.8,70.0
2025-11-13,7650,6.4,66,66,0.44,6.9,7.6,69.7
2025-11-14,8010,6.9,71,55,0.28,6.9,6.9,70.4
2025-11-15,6979,7.6,61,63,0.35,6.9,7.7,70.5
